cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
BF,328040,Virtual-Technologies-Solutions-AS,0.9193,0.7267,161
ZA,328045,Multichoice-Support-Services-AS,0.0411,0.3699,73
AO,328046,Banco-Pungo-Andongo-AS,0,0,2
ZA,328049,Haupt-Online-AS,0,0,18
NG,328050,Intercellular-Nigeria-AS,0.3934,0.8361,61
ZA,328051,GO-Communications-Net-AS,0,0,48
EG,328052,Orascom-Construction-AS,0,0,144
NG,328053,Sterling-Bank-AS,0.9828,1,58
ZA,328057,DaD-Tactical-AS,0,0,35
ZA,328058,Brightwave-Tech-AS,0,0,12
NG,328060,Federal-Univ-Birnin-AS,0,0,4
KM,328061,TELCO-SA-AS,0.0366,0.97,1202
EG,328062,Audi-Bank-AS,0,0,1
ZA,328064,LCOM-AS,0.8454,0.9794,97
ZA,328065,Vast-Networks-AS,0,0,167
MA,328066,MEDASYS-AS,0,0,2
EG,328067,EGIT-Technology-AS,0,0,0
ZA,328068,Beginning-2-End-AS,0.1552,0.2931,58
ZA,328074,KLIQ-ltd-AS,0.4902,0.8431,51
TZ,328075,Gadgetronix-Net,0.0675,0.4135,237
GH,328076,University-of-Mines-and-Technology,0.1809,0.9255,94
ZA,328077,Trinity-IT-Solutions-AS,0.82,0.84,50
CF,328079,TELECEL-CENTRAFRIQUE-AS,0,0,42
NG,328080,Inview-Tech-AS,0,0,13
ZA,328082,RiverBroadband-AS,0,0,7
ZA,328086,WiseTech-Global-AS,0,0,1
ZW,328088,NetOne-Cellular-AS,0.0058,0.1005,11900
KE,328089,Kenya-Revenue-Authority-AS,0,0,6
BJ,328092,SUD-TELCOM-AS,0,0,0
KE,328094,Nakumatt-Holdings-AS,0,0,2
UG,328096,TruIT-Uganda-AS,0,0,0
TZ,328097,Auvionics-AS,0,0,1
BJ,328098,JENY-SAS-AS,0.4192,0.6932,427
ZA,328101,Petprops-AS,0,0,35
ZA,328106,UNIWISP-AS,0,0,13
AO,328111,IPWORLD-AS,0,0,13
ZA,328112,Linux-Based-Systems-Design-AS,0,0,48
CI,328115,Agro-West-Industries,0,0,1
UG,328118,East-Africa-Broadband-Services-AS,0.956,0.989,91
CI,328121,Atlantic-Future-Tech-AS,0,0,5
ZA,328125,FORBTECH-AS,0,0,3
NG,328128,Tehilah-Base-AS,0.4571,0.1429,140
ZA,328130,Kosh-Communication-AS,0.1314,0.0857,175
BJ,328133,ABC-Corporation-AS,0.7812,0.9062,64
TZ,328134,Mzuri-Tech-AS,0,0,1
ZA,328135,AVBOB-AS,0,0,12
LR,328136,K3-Telecom-AS,0.0395,0.049,836
ZA,328137,Web-Squad-Connect-AS,0,0,29
BJ,328138,UNIVERCELL-AS,0,0.0521,192
GM,328140,INSIST-NET-AS,0.0433,0.3607,854
SZ,328144,Touch-IT-AS,0.0549,0.1435,237
ZA,328145,Lyca-Digital-AS,0,0,3
ZA,328146,Saint-ICT-AS,0.75,0.775,80
SN,328148,ADIE-AS,0.0806,0.747,1502
ZA,328157,VirtualComms,0,0,28
NG,328160,Dotmac-Tech,0.25,0.7586,116
ZA,328163,A2X,0,0,1
ZA,328164,Net-Hog-AS,0,0,43
ZA,328167,TWK-Communications,0,0,22
SZ,328169,SWAZI-MOBILE,0.0297,0.6313,2118
NG,328171,TREFOIL,0,0,14
ZA,328174,HomeFind24,0,0,5
ZA,328176,ITTX-Telecoms,0,0,43
ZA,328178,The-Computer-Hut-AS,0.9068,0.9627,161
ZA,328179,Singa-Tel-AS,0,0,27
RW,328180,Bank-Of-Kigali-AS,0.0361,0.8918,305
GH,328182,Digital-Arena,0.4177,0.8608,79
GH,328185,uniBank-Ghana-Limited,0.0048,0.9761,209
NG,328188,Covenant-University-AS,0.0154,0,259
NG,328189,ECOBANK-NIGERIA,0,0,20
KE,328190,Sense-Telecommunications,0,0,5
KE,328192,Kenya-Post-Office-Savings-Bank,0,0,0
CI,328193,SOCIETE-NATIONALE-DE-DEVELOPPEMENT-INFORMATIQUE,0.2533,0.92,225
LR,328196,POWERNET,0.4538,0.8846,130
UG,328198,BLUECRANE,0.5926,0.6667,162
LY,328200,Al-Madar-Al-Jadeed,0.9754,0.0569,33400
NG,328203,Platinum-Index-AS,0.5872,0.7982,109
